phone_number,timestamp,event_type,direction,contact_id,duration_sec,response_delay_min,day,weekday
+919820000986,2024-01-01 13:52:00,text,in,CONTACT_0986_1,0,62.888351888534096,0,True
+919820000986,2024-01-01 13:03:00,text,in,CONTACT_0986_4,0,47.956639267082764,0,True
+919820000986,2024-01-01 20:35:00,call,in,CONTACT_0986_2,52,1.6217326619489225,0,True
+919820000986,2024-01-01 17:25:00,text,out,CONTACT_0986_11,0,11.745081284109995,0,True
+919820000986,2024-01-01 19:08:00,text,out,CONTACT_0986_12,0,12.488536542975416,0,True
+919820000986,2024-01-01 16:39:00,text,in,CONTACT_0986_4,0,49.313122947166775,0,True
+919820000986,2024-01-01 20:44:00,call,in,CONTACT_0986_9,89,15.131882352004652,0,True
+919820000986,2024-01-01 04:15:00,call,out,CONTACT_0986_0,374,51.71348650240751,0,True
+919820000986,2024-01-01 19:32:00,call,in,CONTACT_0986_1,373,7.389914418155535,0,True
+919820000986,2024-01-01 18:00:00,text,in,CONTACT_0986_0,0,3.7962506579019553,0,True
+919820000986,2024-01-01 14:21:00,call,in,CONTACT_0986_6,199,10.069557211703799,0,True
+919820000986,2024-01-01 06:59:00,text,out,CONTACT_0986_1,0,11.34074965129025,0,True
+919820000986,2024-01-01 10:35:00,text,out,CONTACT_0986_8,0,15.609501545469882,0,True
+919820000986,2024-01-01 01:07:00,call,out,CONTACT_0986_8,274,11.656177115678819,0,True
+919820000986,2024-01-01 17:28:00,call,in,CONTACT_0986_0,230,10.26889388948635,0,True
+919820000986,2024-01-01 14:42:00,call,out,CONTACT_0986_6,183,92.7311862670685,0,True
+919820000986,2024-01-02 18:06:00,text,in,CONTACT_0986_13,0,8.250039594888301,1,True
+919820000986,2024-01-02 19:11:00,text,out,CONTACT_0986_3,0,0.7610589167586973,1,True
+919820000986,2024-01-02 11:18:00,call,in,CONTACT_0986_4,28,29.180723042108127,1,True
+919820000986,2024-01-02 01:30:00,text,out,CONTACT_0986_0,0,7.753208918403047,1,True
+919820000986,2024-01-02 13:29:00,call,out,CONTACT_0986_12,210,5.722079616330458,1,True
+919820000986,2024-01-02 14:35:00,text,out,CONTACT_0986_8,0,16.669026686928458,1,True
+919820000986,2024-01-02 11:58:00,call,in,CONTACT_0986_4,23,3.162443049955127,1,True
+919820000986,2024-01-02 22:16:00,text,out,CONTACT_0986_11,0,4.23543981497962,1,True
+919820000986,2024-01-02 04:41:00,text,in,CONTACT_0986_0,0,74.26152323640626,1,True
+919820000986,2024-01-02 09:11:00,text,in,CONTACT_0986_0,0,4.071120869518601,1,True
+919820000986,2024-01-02 13:42:00,text,in,CONTACT_0986_0,0,8.829218675291711,1,True
+919820000986,2024-01-02 21:09:00,text,out,CONTACT_0986_1,0,35.50776129753747,1,True
+919820000986,2024-01-02 07:22:00,call,out,CONTACT_0986_2,116,18.903576693112033,1,True
+919820000986,2024-01-02 18:23:00,text,in,CONTACT_0986_5,0,10.766195416857817,1,True
+919820000986,2024-01-03 13:34:00,text,out,CONTACT_0986_15,0,14.902715906138544,2,True
+919820000986,2024-01-03 20:01:00,text,out,CONTACT_0986_3,0,23.723344103964255,2,True
+919820000986,2024-01-03 10:16:00,text,out,CONTACT_0986_1,0,72.35386011861056,2,True
+919820000986,2024-01-03 20:28:00,call,in,CONTACT_0986_8,24,3.0839624282406435,2,True
+919820000986,2024-01-03 23:09:00,text,out,CONTACT_0986_0,0,0.8531946636742366,2,True
+919820000986,2024-01-03 18:31:00,call,out,CONTACT_0986_0,19,20.219273157929212,2,True
+919820000986,2024-01-03 01:35:00,call,out,CONTACT_0986_2,452,8.786455561842352,2,True
+919820000986,2024-01-03 06:34:00,call,in,CONTACT_0986_0,53,7.57254214036452,2,True
+919820000986,2024-01-03 17:50:00,text,out,CONTACT_0986_0,0,1.2776646079496206,2,True
+919820000986,2024-01-03 12:17:00,call,in,CONTACT_0986_0,88,15.9732540153664,2,True
+919820000986,2024-01-03 12:15:00,text,out,CONTACT_0986_14,0,0.7281179511710515,2,True
+919820000986,2024-01-03 00:02:00,call,in,CONTACT_0986_1,120,7.5238918934023,2,True
+919820000986,2024-01-03 13:48:00,text,in,CONTACT_0986_0,0,0.5,2,True
+919820000986,2024-01-03 16:07:00,text,out,CONTACT_0986_2,0,1.7859721582589148,2,True
+919820000986,2024-01-03 23:19:00,text,in,CONTACT_0986_7,0,3.4529765868114977,2,True
+919820000986,2024-01-03 22:15:00,text,in,CONTACT_0986_1,0,42.37626862731201,2,True
+919820000986,2024-01-03 14:10:00,text,in,CONTACT_0986_0,0,13.510529555700181,2,True
+919820000986,2024-01-03 10:24:00,text,out,CONTACT_0986_0,0,0.7084156185273413,2,True
+919820000986,2024-01-04 12:49:00,text,out,CONTACT_0986_5,0,29.85939659650538,3,True
+919820000986,2024-01-04 20:50:00,text,in,CONTACT_0986_5,0,0.808553660823056,3,True
+919820000986,2024-01-04 05:18:00,call,out,CONTACT_0986_6,153,29.715128156963946,3,True
+919820000986,2024-01-04 23:03:00,call,in,CONTACT_0986_13,66,6.072939678302948,3,True
+919820000986,2024-01-04 10:38:00,text,in,CONTACT_0986_3,0,42.05286766034925,3,True
+919820000986,2024-01-04 11:47:00,text,in,CONTACT_0986_4,0,9.665072889805273,3,True
+919820000986,2024-01-04 10:46:00,call,in,CONTACT_0986_0,13,2.0485765306276407,3,True
+919820000986,2024-01-04 11:05:00,text,in,CONTACT_0986_2,0,25.610554752643466,3,True
+919820000986,2024-01-04 23:22:00,call,out,CONTACT_0986_1,554,61.22564710226578,3,True
+919820000986,2024-01-04 20:47:00,call,in,CONTACT_0986_14,212,43.109891233565236,3,True
+919820000986,2024-01-04 11:14:00,call,in,CONTACT_0986_0,90,2.146706778442754,3,True
+919820000986,2024-01-04 10:28:00,text,out,CONTACT_0986_1,0,23.136798582575544,3,True
+919820000986,2024-01-04 18:29:00,text,in,CONTACT_0986_0,0,81.20887370499553,3,True
+919820000986,2024-01-04 11:04:00,call,in,CONTACT_0986_3,29,15.449688772539137,3,True
+919820000986,2024-01-04 12:35:00,call,in,CONTACT_0986_15,65,18.597540856953753,3,True
+919820000986,2024-01-04 10:31:00,call,in,CONTACT_0986_1,38,19.133131457624792,3,True
+919820000986,2024-01-04 15:53:00,text,in,CONTACT_0986_0,0,2.9178947635030226,3,True
+919820000986,2024-01-04 13:34:00,text,out,CONTACT_0986_2,0,0.5057723320473051,3,True
+919820000986,2024-01-04 21:20:00,text,out,CONTACT_0986_0,0,14.937551812619438,3,True
+919820000986,2024-01-04 07:05:00,text,in,CONTACT_0986_14,0,3.0731471474248586,3,True
+919820000986,2024-01-04 15:46:00,text,out,CONTACT_0986_0,0,21.086637501745468,3,True
+919820000986,2024-01-05 14:20:00,text,out,CONTACT_0986_16,0,15.910901394984364,4,True
+919820000986,2024-01-05 16:42:00,text,out,CONTACT_0986_0,0,47.68742438494781,4,True
+919820000986,2024-01-05 19:05:00,text,out,CONTACT_0986_13,0,37.76143182676255,4,True
+919820000986,2024-01-05 17:45:00,call,out,CONTACT_0986_14,9,26.998739461681133,4,True
+919820000986,2024-01-05 15:45:00,text,in,CONTACT_0986_1,0,40.82840751778409,4,True
+919820000986,2024-01-05 07:12:00,text,in,CONTACT_0986_0,0,18.309714726121168,4,True
+919820000986,2024-01-05 12:40:00,text,out,CONTACT_0986_0,0,54.47694906293675,4,True
